id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,business_hours,attributes,price
iq5tRMXpyiR5s-BzQ-mpWQ,hawker-toronto,Hawker,https://s3-media1.fl.yelpcdn.com/bphoto/M6FSZoSuU6zHTjOLyQFMsA/o.jpg,False,https://www.yelp.com/biz/hawker-toronto?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,53,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.8,"{'latitude': 43.6563172, 'longitude': -79.4025011}",[],"{'address1': '291 Augusta Avenue', 'address2': '', 'address3': None, 'city': 'Toronto', 'zip_code': 'M5T 2M2', 'country': 'CA', 'state': 'ON', 'display_address': ['291 Augusta Avenue', 'Toronto, ON M5T 2M2', 'Canada']}",+14166281905,+1 416-628-1905,2049.189488990319,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 6}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'http://hawker.to/menu', 'open24_hours': None, 'waitlist_reservation': True}",
0gYHTEV7E45Cz6xk7mlMUw,la-vegan-toronto-2,La Vegan,https://s3-media2.fl.yelpcdn.com/bphoto/L5NT_kgNzxvwWI37th33Qw/o.jpg,False,https://www.yelp.com/biz/la-vegan-toronto-2?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,15,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'salad', 'title': 'Salad'}]",4.9,"{'latitude': 43.683, 'longitude': -79.32639}",['restaurant_reservation'],"{'address1': '1450 Danforth Avenue', 'address2': '', 'address3': None, 'city': 'Toronto', 'zip_code': 'M4J 1N4', 'country': 'CA', 'state': 'ON', 'display_address': ['1450 Danforth Avenue', 'Toronto, ON M4J 1N4', 'Canada']}",+14165468723,+1 416-546-8723,5742.486563342255,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.laveganethiopian.com/food.php', 'open24_hours': None, 'waitlist_reservation': True}",
Z2JN_I8GdpcFcKo92P1zHw,vegholic-toronto,Vegholic,https://s3-media3.fl.yelpcdn.com/bphoto/noihR1o2MEAEVx27VLXkyg/o.jpg,False,https://www.yelp.com/biz/vegholic-toronto?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,2,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.0,"{'latitude': 43.6587182, 'longitude': -79.382272}",[],"{'address1': '372 Yonge Street', 'address2': '', 'address3': None, 'city': 'Toronto', 'zip_code': 'M5G 2K9', 'country': 'CA', 'state': 'ON', 'display_address': ['372 Yonge Street', 'Toronto, ON M5G 2K9', 'Canada']}",+14163400015,+1 416-340-0015,2089.09600138945,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",
yjUSr_bP-9cJchtdgJzSaA,soy-boys-toronto,Soy Boys,https://s3-media4.fl.yelpcdn.com/bphoto/gMviWPO2RrKDxoVIEwpgtQ/o.jpg,False,https://www.yelp.com/biz/soy-boys-toronto?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,15,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.3,"{'latitude': 43.66447, 'longitude': -79.38004}",[],"{'address1': '471 Church Street', 'address2': '', 'address3': None, 'city': 'Toronto', 'zip_code': 'M4Y 2C5', 'country': 'CA', 'state': 'ON', 'display_address': ['471 Church Street', 'Toronto, ON M4Y 2C5', 'Canada']}",,,1722.01001940638,"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.soyboysburgers.ca/menu', 'open24_hours': None, 'waitlist_reservation': None}",
X6n9WPYhehb9JmALWYjeTg,fat-choi-toronto,Fat Choi,https://s3-media4.fl.yelpcdn.com/bphoto/BylNEzng3jjPUqFsc6T1cA/o.jpg,False,https://www.yelp.com/biz/fat-choi-toronto?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,12,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 43.64626, 'longitude': -79.4197499}",[],"{'address1': '94 Ossington Avenue', 'address2': '', 'address3': None, 'city': 'Toronto', 'zip_code': 'M6J 2Z4', 'country': 'CA', 'state': 'ON', 'display_address': ['94 Ossington Avenue', 'Toronto, ON M6J 2Z4', 'Canada']}",+14169017667,+1 416-901-7667,3624.6913781428575,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.fatchoito.com/menu-1/', 'open24_hours': None, 'waitlist_reservation': None}",
OyjuNkm5nGvf7EvJWRw0jw,bellona-kitchen-toronto,Bellona Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/H3n5qeqaXQppSnri4P5EYw/o.jpg,False,https://www.yelp.com/biz/bellona-kitchen-toronto?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,16,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.4,"{'latitude': 43.65582003744772, 'longitude': -79.4873736}",[],"{'address1': '276 Jane Street', 'address2': '', 'address3': None, 'city': 'Toronto', 'zip_code': 'M6S 3Z2', 'country': 'CA', 'state': 'ON', 'display_address': ['276 Jane Street', 'Toronto, ON M6S 3Z2', 'Canada']}",+14166048777,+1 416-604-8777,7567.618703131135,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://bellonakitchen.ca/menu/', 'open24_hours': None, 'waitlist_reservation': True}",
JG9UpsFR6hrqQqsKh_RyaQ,planta-yorkville-toronto-10,PLANTA Yorkville,https://s3-media3.fl.yelpcdn.com/bphoto/PZeryEMsHfd2gxRvB3iyhA/o.jpg,False,https://www.yelp.com/biz/planta-yorkville-toronto-10?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,539,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",3.9,"{'latitude': 43.67028, 'longitude': -79.38945}",[],"{'address1': '1221 Bay Street', 'address2': '', 'address3': None, 'city': 'Toronto', 'zip_code': 'M5R 3P5', 'country': 'CA', 'state': 'ON', 'display_address': ['1221 Bay Street', 'Toronto, ON M5R 3P5', 'Canada']}",+16478121221,+1 647-812-1221,745.4186614241825,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.plantarestaurants.com/location/planta-toronto/#all-day-menu-copy-11', 'open24_hours': None, 'waitlist_reservation': None}",$$
udAdMR_hXO6URWExOvKP-g,vital-life-vegan-toronto-2,Vital Life Vegan,https://s3-media1.fl.yelpcdn.com/bphoto/xFElfRiYcAW3yDMdGK2wag/o.jpg,False,https://www.yelp.com/biz/vital-life-vegan-toronto-2?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,5,"[{'alias': 'vegan', 'title': 'Vegan'}]",5.0,"{'latitude': 43.66516, 'longitude': -79.35273}",[],"{'address1': '360 Broadview Avenue', 'address2': None, 'address3': '', 'city': 'Toronto', 'zip_code': 'M4M 2G9', 'country': 'CA', 'state': 'ON', 'display_address': ['360 Broadview Avenue', 'Toronto, ON M4M 2G9', 'Canada']}",+14167784890,+1 416-778-4890,3689.949943993486,[],"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",
dAmVTQ6ukuLh4UxTmBoRkg,mahas-toronto-2,Maha's,https://s3-media2.fl.yelpcdn.com/bphoto/NTJCWEVvYd9ioNKD8QvVRA/o.jpg,False,https://www.yelp.com/biz/mahas-toronto-2?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,659,"[{'alias': 'egyptian', 'title': 'Egyptian'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.1,"{'latitude': 43.67167, 'longitude': -79.32853}",[],"{'address1': '226 Greenwood Avenue', 'address2': '', 'address3': '', 'city': 'Toronto', 'zip_code': 'M4L 2R2', 'country': 'CA', 'state': 'ON', 'display_address': ['226 Greenwood Avenue', 'Toronto, ON M4L 2R2', 'Canada']}",+14164622703,+1 416-462-2703,5500.171515473381,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'http://www.mahasbrunch.com/menu/', 'open24_hours': None, 'waitlist_reservation': None}",$$
7qHU_Zh5qEJP3DaaBHqWBg,saigon-lotus-toronto-3,Saigon Lotus,https://s3-media4.fl.yelpcdn.com/bphoto/lTxJhogSXVSENT_slP6kFw/o.jpg,False,https://www.yelp.com/biz/saigon-lotus-toronto-3?adjust_creative=EgfqPC4Fc9XkDq4gDsLP3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EgfqPC4Fc9XkDq4gDsLP3Q,242,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.4,"{'latitude': 43.65449, 'longitude': -79.39928}",[],"{'address1': '6 St Andrew Street', 'address2': None, 'address3': '', 'city': 'Toronto', 'zip_code': 'M5T 1K6', 'country': 'CA', 'state': 'ON', 'display_address': ['6 St Andrew Street', 'Toronto, ON M5T 1K6', 'Canada']}",+14169011115,+1 416-901-1115,2218.9724020418507,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'http://saigonlotus.ca/menu/', 'open24_hours': None, 'waitlist_reservation': None}",$$
